county,seat,data,open,resources,gis,gis-data,gis-pay,gis-license,gis-site,pva,pva-map,pva-data,pva-site
Lawrence,Louisa,no,no,,no,no,,,,yes,no,individual,http://www.pvdnetwork.com/PVDNet.asp?SiteID=108
Lee,Beattyville,no,no,,no,no,,,,yes,no,no,
Leslie,Hyden,no,no,,no,no,,,,yes,subscription,individual,http://www.qpublic.net/ky/leslie/
Letcher,Whitesburg,no,no,,no,no,,,,yes,subscription,individual,http://www.qpublic.net/ky/letcher/
Lewis,Vanceburg,no,no,,no,no,,,,yes,subscription,individual,http://www.lewispva.com/
Lincoln,Stanford,no,no,,no,no,,,,yes,subscription,individual,http://www.qpublic.net/ky/lincoln/
Livingston,Smithland,no,no,,no,no,,,,yes,no,no,
Logan,Russellville,no,no,,yes,no,,,http://www.logancountykygis.com/QCMS_GIS/,yes,subscription,individual,http://www.loganpva.com/
Lyon,Eddyville,no,no,,no,no,,,,yes,subscription,individual,http://www.qpublic.net/ky/lyon/
McCracken,Paducah,no,no,,yes,no,,,http://map-gis.org/,yes,subscription,subscription,http://www.qpublic.net/ky/mccracken/
McCreary,Whitley City,no,no,,no,no,,,,yes,subscription,individual,http://www.qpublic.net/ky/mccreary/
McLean,Calhoun,no,no,,no,no,,,,yes,subscription,individual,http://www.qpublic.net/ky/mclean/
Madison,Richmond,no,no,,yes,no,,,,yes,subscription,individual,http://qpublic.net/ky/madison/
Magoffin,Salyersville,no,no,,no,no,,,,yes,no,no,
Marion,Lebanon,no,no,,no,no,,,,yes,suscription,individual,http://www.qpublic.net/ky/marion/
Marshall,Benton,no,no,,yes,no,,,http://gis.marshallcounty.ky.gov/MAGIC/,yes,no,subscription,http://marshallpva.ky.gov/PVA/index.html
Martin,Inez,no,no,,no,no,,,,yes,no,no,
Mason,Maysville,no,no,,no,no,,,,yes,subscription,individual,http://www.qpublic.net/ky/mason/
Meade,Brandenburg,no,no,,no,no,,,,yes,subscription,individual,http://www.qpublic.net/ky/meade
Menifee,Frenchburg,no,no,,no,no,,,,yes,no,no,
Mercer,Harrodsburg,no,no,,no,no,,,,yes,no,individual,http://www.mercercountypva.com/
Metcalfe,Edmonton,no,no,,no,no,,,,yes,no,individual,http://www.qpublic.net/ky/metcalfe/
Monroe,Tompkinsville,no,no,,no,no,,,,yes,subscription,individual,http://www.qpublic.net/ky/monroe/
Montgomery,Mount Sterling,no,no,,no,no,,,,yes,subscription,individual,http://www.qpublic.net/ky/montgomery/
Morgan,West Liberty,no,no,,no,no,,,,yes,subscription,individual,http://www.morganpva.com/
Muhlenberg,Greenville,no,no,,no,no,,,,yes,subscription,individual,http://qpublic.net/ky/muhlenberg/
Nelson,Bardstown,no,no,,no,no,,,,yes,subscription,individual,http://www.qpublic.net/ky/nelson/
Nicholas,Carlisle,no,no,,no,no,,,,yes,subscription,individual,http://www.nicholaspva.com/
Ohio,Hartford,no,no,,no,no,,,,yes,no,individual,http://www.ohiopva.com/
Oldham,La Grange,no,no,,yes,yes,paid,limited,http://www.oldhamgis.org/,yes,subscription,individual,http://www.oldhampva.com/
Owen,Owenton,no,no,,no,no,,,,yes,no,individual,http://www.qpublic.net/ky/owen
Owsley,Booneville,no,no,,no,no,,,,yes,subscription,subscription,http://www.qpublic.net/ky/owsley/
Pendleton,Falmouth,no,no,,yes,yes,paid,undefined,http://www.linkgis.org/lghome/,yes,no,individual,http://www.pendletonpva.com
Perry,Hazard,no,no,,no,no,,,,yes,subscription,individual,http://www.qpublic.net/ky/perry/
Pike,Pikeville,no,no,,no,no,,,,yes,subscription,subscription,http://qpublic.net/ky/pike/
Powell,Stanton,no,no,,no,no,,,,yes,subscription,individual,http://www.qpublic.net/ky/powell
Pulaski,Somerset,no,no,,no,no,,,,yes,yes,individual,http://www.qpublic.net/ky/pulaski/
Robertson,Mount Olivet,no,no,,no,no,,,,yes,subscription,individual,http://www.qpublic.net/ky/robertson/
Rockcastle,Mount Vernon,no,no,,no,no,,,,yes,no,no,
Rowan,Morehead,no,no,,no,no,,,,yes,subscription,subscription,http://www.qpublic.net/ky/rowan/
Russell,Jamestown,no,no,,no,no,,,,yes,subscription,no,http://www.russellpva.com/
Scott,Georgetown,no,no,,yes,yes,paid,limited,http://www.gscplanning.com/#!gis/crfm,yes,yes,individual,http://qpublic.net/ky/scott/
Shelby,Shelbyville,no,no,,no,no,,,,yes,subscription,individual,http://www.qpublic.net/ky/shelby/
Simpson,Franklin,no,no,,no,no,,,,yes,subscription,individual,http://www.qpublic.net/ky/simpson/
Spencer,Taylorsville,no,no,,no,no,,,,yes,no,no,
Taylor,Campbellsville,no,no,,no,no,,,,yes,subscription,individual,http://www.taylorpva.com/
Todd,Elkton,no,no,,no,no,,,,yes,subscription,individual,http://www.qpublic.net/ky/todd/
Trigg,Cadiz,no,no,,no,no,,,,yes,subscription,individual,http://www.qpublic.net/ky/trigg/
Trimble,Bedford,no,no,,no,no,,,,yes,no,no,http://www.trimblecounty.ky.gov/gov/pva.htm
Union,Morganfield,no,no,,yes,no,,,http://unioncounty.ky.gov/index.php/gis,yes,yes,individual,http://www.unionpva.com/
Warren,Bowling Green,no,no,,yes,no,,,http://warrenpc.org/maps/index.php,yes,subscription,individual,http://www.qpublic.net/ky/warren/
Washington,Springfield,no,no,,no,no,,,,yes,subscription,individual,http://www.washingtonkypva.com/
Wayne,Monticello,no,no,,no,no,,,,yes,subscription,individual,http://www.qpublic.net/ky/wayne/
Webster,Dixon,no,no,,no,no,,,,yes,subscription,subscription,http://www.webstercountypva.com/
Whitley,Williamsburg,no,no,,no,no,,,,yes,subscription,individual,http://qpublic.net/ky/whitley/
Wolfe,Campton,no,no,,no,no,,,,yes,no,no,
Woodford,Versailles,no,no,,yes,yes,paid,undefined,http://planning.woodfordcountyky.org/Maps.htm,yes,subscription,individual,http://www.qpublic.net/ky/woodford/
